pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_massj,pl_msinij,pl_radj,pl_dens,pl_orbincl,pl_ttvflag,ra,dec,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name,st_radv,st_sp,st_lum,st_metfe,st_acts,st_actr,pl_msinie,pl_disc
HD 4732,b,Radial Velocity,360.20000000,1.190000,0.130000,,2.37000,,,,0,12.308117,-24.136671,56.50,5.890,4959.00,1.74,5.40,HD 4732,HIP 3834,,5.00,1.190,0.010,0.118,,753.23000,2012
HD 4732,c,Radial Velocity,2732.00000000,4.600000,0.230000,,2.37000,,,,0,12.308117,-24.136671,56.50,5.890,4959.00,1.74,5.40,HD 4732,HIP 3834,,5.00,1.190,0.010,0.118,,753.23000,2012
HD 47536,b,Radial Velocity,430.00000000,,0.200000,,5.00000,,,,0,99.448410,-32.339733,121.36,5.280,,,,HD 47536,HIP 31688,,5.10,,,,,1589.08306,2003
HD 47536,c,Radial Velocity,2500.00000000,,,,7.00000,,,,0,99.448410,-32.339733,121.36,5.280,,,,HD 47536,HIP 31688,,5.10,,,,,2224.71628,2007
HD 48265,b,Radial Velocity,700.00000000,1.510000,0.180000,,1.16000,,,,0,100.007195,-48.541954,87.41,8.032,,,,HD 48265,HIP 31895,22.50,4.50,,,,,368.66727,2008
HD 49674,b,Radial Velocity,4.94370000,0.058000,0.230000,,0.11500,,,,0,102.877151,40.867756,40.73,8.097,,,,HD 49674,HIP 32916,11.80,4.00,,,0.211,-4.800,36.54900,2002
HD 50499,b,Radial Velocity,2582.70000000,3.860000,0.230000,,1.71000,,,,0,103.008438,-33.915562,47.26,7.195,,,,HD 50499,HIP 32970,36.50,4.10,,,0.153,-5.020,543.46640,2005
HD 50554,b,Radial Velocity,1279.00000000,2.380000,0.420000,,4.90000,,,,0,103.678436,24.245558,31.03,6.844,,,,HD 50554,HIP 33212,-4.20,3.80,,,0.161,-4.950,1557.30139,2002
HD 51608,b,Radial Velocity,14.07000000,0.105900,0.150000,,0.04130,,,,0,103.713921,-55.259327,34.07,8.155,,,,HD 51608,HIP 33229,39.10,4.80,,,0.173,-4.970,13.13000,2011
HD 51608,c,Radial Velocity,95.41500000,0.379100,0.410000,,0.05650,,,,0,103.713921,-55.259327,34.07,8.155,,,,HD 51608,HIP 33229,39.10,4.80,,,0.173,-4.970,17.96000,2011
HD 52265,b,Radial Velocity,118.96000000,0.490000,0.290000,,1.13000,,,,0,105.075150,-5.367162,28.07,6.300,,,,HD 52265,HIP 33719,53.20,4.00,,,0.150,-5.020,359.13277,2000
HD 5319,b,Radial Velocity,675.00000000,1.750000,0.120000,,1.94000,,,,0,13.755836,0.789553,100.00,8.047,,,,HD 5319,HIP 4297,,5.00,,,,,616.56423,2007
HD 5388,b,Radial Velocity,777.00000000,,,,1.96000,,,,0,13.799541,-47.405964,53.28,6.722,,,,HD 5388,HIP 4311,39.20,3.60,,,,,622.92056,2009
HD 5608,b,Radial Velocity,792.60000000,1.900000,0.190000,1.40000,,,,,0,14.559246,33.950886,58.20,5.980,4854.00,1.55,5.50,HD 5608,HIP 4552,,5.00,1.179,,,,,2012
HD 5891,b,Radial Velocity,177.11000000,0.760000,0.066000,,7.60000,,,,0,15.138300,20.292484,150.60,8.114,,,,HD 5891,HIP 4715,,4.50,,,,,2420.00000,2011
HD 59686,b,Radial Velocity,303.00000000,0.911000,0.000000,,5.25000,,,,0,112.951653,17.086046,92.51,5.442,,,,HD 59686,HIP 36616,,5.00,,,,,1668.53721,2003
HD 60532,b,Radial Velocity,201.83000000,0.770000,0.278000,,3.15480,,,20.000,0,113.513252,-22.296066,25.70,4.450,,,,HD 60532,HIP 36795,60.70,3.60,,,,,1002.65000,2008
HD 60532,c,Radial Velocity,607.06000000,1.580000,0.038000,,7.46340,,,20.000,0,113.513252,-22.296066,25.70,4.450,,,,HD 60532,HIP 36795,60.70,3.60,,,,,2371.99000,2008
HD 62509,b,Radial Velocity,589.64000000,1.690000,0.020000,,2.90000,,,,0,116.328957,28.026199,10.34,1.140,,,,HD 62509,HIP 37826,,5.00,,,0.140,,921.66817,2006
HD 63454,b,Radial Velocity,2.81782200,0.036000,0.000000,,0.38000,,,,0,114.841049,-78.278969,35.80,9.362,,,,HD 63454,HIP 37284,,5.40,,,,,120.77000,2005
HD 63765,b,Radial Velocity,358.00000000,0.940000,0.240000,,0.64000,,,,0,116.957161,-54.264145,32.62,8.104,,,,HD 63765,HIP 38041,22.10,4.60,,,,,203.40300,2009
HD 6434,b,Radial Velocity,22.09000000,0.150000,0.300000,,0.48000,,,,0,16.167295,-39.488216,40.32,7.730,,,,HD 6434,HIP 5054,22.90,4.25,,,,,152.55197,2000
HD 65216,b,Radial Velocity,613.10000000,1.370000,0.410000,,1.21000,,,,0,118.422173,-63.647324,35.59,7.964,,,,HD 65216,HIP 38558,42.30,4.50,,,,,384.55810,2003
HD 65216,c,Radial Velocity,5542.00000000,,0.150000,2.24029,,,,,0,118.422173,-63.647324,35.59,7.964,,,,HD 65216,HIP 38558,42.30,4.50,,,,,,2011
HD 66141,b,Radial Velocity,480.50000000,1.200000,0.070000,,6.00000,,,,0,120.566406,2.334571,80.06,4.380,4323.00,1.10,21.40,HD 66141,HIP 39311,71.57,5.20,2.240,-0.323,,,1906.90000,2012
HD 66428,b,Radial Velocity,1973.00000000,3.180000,0.465000,,2.82000,,,,0,120.869438,-1.162709,55.04,8.258,,,,HD 66428,HIP 39417,44.30,4.80,,,0.149,-5.080,896.24300,2006
HD 6718,b,Radial Velocity,2496.00000000,,,,1.65000,,,,0,16.952761,-8.233706,55.01,8.450,,,,HD 6718,HIP 5301,34.10,4.50,,,,,524.39741,2009
HD 68988,b,Radial Velocity,6.27600000,0.071000,0.140000,,1.90000,,,,0,124.592384,61.460724,58.82,8.188,,,,HD 68988,HIP 40687,-69.70,4.00,,,0.154,-5.040,603.85156,2001
HD 69830,b,Radial Velocity,8.66700000,0.078500,0.100000,,0.03300,,,,0,124.599777,-12.632174,12.58,6.000,,,,HD 69830,HIP 40693,29.80,5.00,,,0.176,-4.950,10.48800,2006
HD 69830,c,Radial Velocity,31.56000000,0.186000,0.130000,,0.03800,,,,0,124.599777,-12.632174,12.58,6.000,,,,HD 69830,HIP 40693,29.80,5.00,,,0.176,-4.950,12.07703,2006
HD 69830,d,Radial Velocity,197.00000000,0.630000,0.070000,,0.05800,,,,0,124.599777,-12.632174,12.58,6.000,,,,HD 69830,HIP 40693,29.80,5.00,,,0.176,-4.950,18.43336,2006
HD 70573,b,Radial Velocity,851.80000000,1.760000,0.400000,,6.10000,,,,0,125.708135,1.859323,,11.424,,,,HD 70573,,,4.60,,,,,1938.68133,2007
HD 70642,b,Radial Velocity,2231.00000000,3.300000,0.100000,,2.00000,,,,0,125.367233,-39.705410,28.76,7.180,,,,HD 70642,HIP 40952,48.80,4.95,,,,,635.63322,2003
HD 7199,b,Radial Velocity,615.00000000,1.360000,0.190000,,0.29000,,,,0,17.696762,-66.188164,35.88,8.027,,,,HD 7199,HIP 5529,4.80,5.00,,,,,92.16680,2011
HD 72659,b,Radial Velocity,3177.40000000,4.160000,0.200000,,2.96000,,,,0,128.513290,-1.568217,51.36,7.465,,,,HD 72659,HIP 42030,-18.40,4.20,,,0.154,-5.020,940.73717,2002
HD 73256,b,Radial Velocity,2.54858000,0.037000,0.030000,,1.87000,,,,0,129.095901,-30.037626,36.52,8.059,,,,HD 73256,HIP 42214,29.50,4.90,,,0.378,-4.490,594.31706,2003
HD 73267,b,Radial Velocity,1260.00000000,2.198000,0.256000,,3.06000,,,,0,129.074066,-34.459980,53.05,8.870,,,,HD 73267,HIP 42202,51.30,5.00,,,,,972.51883,2008
HD 73526,b,Radial Velocity,188.30000000,0.660000,0.190000,,2.90000,,,,0,129.318680,-41.319103,94.61,8.971,,,,HD 73526,HIP 42282,26.10,4.60,,,,,921.66817,2002
HD 73526,c,Radial Velocity,377.80000000,1.050000,0.140000,,2.50000,,,,0,129.318680,-41.319103,94.61,8.971,,,,HD 73526,HIP 42282,26.10,4.60,,,,,794.54153,2006
HD 73534,b,Radial Velocity,1800.00000000,3.150000,0.046000,,1.15000,,,,0,129.815842,12.960376,96.99,8.237,,,,HD 73534,HIP 42446,,4.50,,,,,365.48910,2009
HD 74156,b,Radial Velocity,51.65000000,0.294000,0.640000,,1.88000,,,,0,130.604675,4.578097,64.56,7.614,,,,HD 74156,HIP 42723,3.70,4.10,,,0.144,-5.080,597.49500,2003
HD 74156,c,Radial Velocity,2476.00000000,3.850000,0.430000,,8.03000,,,,0,130.604675,4.578097,64.56,7.614,,,,HD 74156,HIP 42723,3.70,4.10,,,0.144,-5.080,2552.06739,2003
HD 74156,d,Radial Velocity,346.60000000,1.010000,0.250000,,0.39600,,,,0,130.604675,4.578097,64.56,7.614,,,,HD 74156,HIP 42723,3.70,4.10,,,0.144,-5.080,125.85500,2007
HD 7449,b,Radial Velocity,1275.00000000,2.300000,0.820000,,1.11000,,,,0,18.622173,-5.047387,38.52,7.483,,,,HD 7449,HIP 5806,-20.00,4.00,,,,,352.77600,2011
HD 7449,c,Radial Velocity,4046.00000000,4.960000,0.530000,,2.00000,,,,0,18.622173,-5.047387,38.52,7.483,,,,HD 7449,HIP 5806,-20.00,4.00,,,,,635.63300,2011
HD 75289,b,Radial Velocity,3.51000000,0.046000,0.054000,,0.42000,,,,0,131.918289,-41.736794,28.94,6.370,,,,HD 75289,HIP 43177,8.90,4.00,,,0.154,-5.000,133.48298,1999
HD 75898,b,Radial Velocity,418.20000000,1.190000,0.100000,,2.51000,,,,0,133.461685,33.056812,80.58,8.033,,,,HD 75898,HIP 43674,21.30,4.00,,,,,797.71969,2007
HD 76700,b,Radial Velocity,3.97100000,0.049000,0.130000,,0.19700,,,,0,133.481308,-66.800995,59.70,8.155,,,,HD 76700,HIP 43686,37.70,4.60,,,,,62.60987,2002
HD 77338,b,Radial Velocity,5.73610000,0.061400,0.090000,0.05000,,,,,0,135.302063,-25.527061,40.75,8.591,5370.00,0.93,0.88,HD 77338,HIP 44291,,5.00,-0.260,,,,,2012
HD 7924,b,Radial Velocity,5.39780000,0.057000,0.170000,,0.02900,,,,0,20.496313,76.710281,16.82,7.167,,,,HD 7924,HIP 6379,-23.40,5.00,,,0.222,-4.830,9.21668,2009
HD 79498,b,Radial Velocity,1966.10000000,3.130000,0.590000,,1.34000,,,,0,138.789169,23.375549,48.64,8.020,,,,HD 79498,HIP 45406,19.50,4.50,,,,,425.90000,2012
HD 80606,b,Radial Velocity,111.43570000,0.449000,0.933200,3.94000,,0.980,4.82800,89.320,0,140.656540,50.603722,58.40,9.001,5645.00,0.97,0.98,HD 80606,HIP 45982,3.91,4.50,,,0.149,-5.090,,2003
HD 81040,b,Radial Velocity,1001.70000000,1.940000,0.526000,,6.86000,,,,0,140.946198,20.364454,32.56,7.716,,,,HD 81040,HIP 46076,48.90,4.00,,,,,2180.22195,2005
HD 81688,b,Radial Velocity,184.02000000,0.810000,0.000000,,2.70000,,,,0,142.166626,45.601482,88.26,5.393,,,,HD 81688,HIP 46471,,4.50,,,,,858.10485,2008
HD 82886,b,Radial Velocity,705.00000000,1.650000,0.270000,,1.30000,,,,0,143.938263,34.780743,112.23,7.625,,,,HD 82886,HIP 47087,,4.00,,,,,413.00000,2011
HD 82943,b,Radial Velocity,441.20000000,1.180000,0.219000,,1.75000,,,,0,143.711395,-12.129546,27.46,6.530,,,,HD 82943,HIP 47007,8.10,4.25,,,0.172,-4.920,556.00000,2003
HD 82943,c,Radial Velocity,219.30000000,0.747000,0.359000,,2.01000,,,,0,143.711395,-12.129546,27.46,6.530,,,,HD 82943,HIP 47007,8.10,4.25,,,0.172,-4.920,639.00000,2003
HD 83443,b,Radial Velocity,2.98562500,0.040600,0.008000,,0.40000,,,,0,144.299286,-43.272205,43.53,8.222,,,,HD 83443,HIP 47202,29.00,5.05,,,0.216,-4.840,127.00000,2002
HD 8535,b,Radial Velocity,1313.00000000,,,,0.63000,,,,0,20.905149,-41.269802,56.34,7.686,,,,HD 8535,HIP 6511,2.40,4.00,,,0.151,-5.000,200.22446,2009
HD 85390,b,Radial Velocity,781.00000000,,,,0.14000,,,,0,147.510406,-49.790268,33.96,8.526,,,,HD 85390,HIP 48235,32.50,5.10,,,0.195,-4.930,44.49433,2009
HD 85512,b,Radial Velocity,58.43000000,0.260000,0.110000,,0.01133,,,,0,147.779388,-43.502789,11.15,7.670,,,,HD 85512,HIP 48331,-10.20,6.00,,,,,3.60000,2011
HD 8574,b,Radial Velocity,227.00000000,0.757000,0.297000,,1.80000,,,,0,21.302153,28.566692,44.15,7.112,,,,HD 8574,HIP 6643,18.60,3.80,,,0.144,-5.070,572.00000,2003
HD 86081,b,Radial Velocity,2.13750000,0.039000,0.008000,,1.50000,,,,0,149.024658,-3.808422,91.16,8.701,,,,HD 86081,HIP 48711,,4.10,,,,,476.72492,2006
HD 86226,b,Radial Velocity,1534.00000000,2.600000,0.730000,,1.50000,,,,0,149.124359,-24.099390,42.48,7.932,,,,HD 86226,HIP 48739,19.40,4.20,,,,,476.72500,2010
HD 86264,b,Radial Velocity,1475.00000000,2.860000,0.700000,,7.00000,,,,0,149.240997,-15.895122,72.57,7.407,,,,HD 86264,HIP 48780,7.10,3.70,,,0.193,-4.740,2224.71628,2009
HD 8673,b,Radial Velocity,1634.00000000,3.020000,0.723000,,14.20000,,,,0,21.536604,34.579700,38.26,6.341,,,,HD 8673,HIP 6702,17.30,3.50,,,0.200,-4.710,4513.00000,2010
HD 87883,b,Radial Velocity,2754.00000000,3.600000,0.530000,,1.78000,,,,0,152.179749,34.242260,18.06,7.551,,,,HD 87883,HIP 49699,9.30,5.25,,,0.250,,565.71357,2009
HD 88133,b,Radial Velocity,3.41600000,0.047000,0.133000,,0.22000,,,,0,152.531982,18.186871,74.46,8.001,,,,HD 88133,HIP 49813,,4.50,,,,,69.91965,2004
HD 89307,b,Radial Velocity,2157.00000000,3.270000,0.241000,,1.78000,,,,0,154.588699,12.621108,30.88,7.009,,,,HD 89307,HIP 50473,22.60,4.00,,,0.162,-4.950,565.71357,2004
HD 89744,b,Radial Velocity,256.60500000,0.890000,0.670000,,7.99000,,,,0,155.544006,41.229530,38.99,5.720,,,,HD 89744,HIP 50786,-5.60,3.80,,,0.158,-4.940,2539.35472,2000
HD 90156,b,Radial Velocity,49.80000000,,,,0.05500,,,,0,155.980316,-29.645529,22.09,6.932,,,,HD 90156,HIP 50921,26.40,4.50,,,0.169,-4.950,17.47991,2009
HD 92788,b,Radial Velocity,325.81000000,0.970000,0.334000,,3.86000,,,,0,160.702209,-2.183756,32.32,7.300,,,,HD 92788,HIP 52409,-5.00,4.60,,,0.153,-5.050,1226.77212,2000
HD 93083,b,Radial Velocity,143.58000000,0.477000,0.140000,,0.37000,,,,0,161.087143,-33.577023,28.90,8.318,,,,HD 93083,HIP 52521,,5.30,,,,,117.59215,2005
HD 93385,b,Radial Velocity,13.18600000,0.111600,0.150000,,0.02630,,,,0,161.562973,-41.464367,42.52,7.486,,,,HD 93385,HIP 52676,47.30,4.25,,,0.158,-5.010,8.35900,2011
HD 93385,c,Radial Velocity,46.02500000,0.257000,0.240000,,0.03180,,,,0,161.562973,-41.464367,42.52,7.486,,,,HD 93385,HIP 52676,47.30,4.25,,,0.158,-5.010,10.11000,2011
HD 9446,b,Radial Velocity,30.05200000,0.189000,0.200000,,0.70000,,,,0,23.334101,29.265148,52.85,8.369,,,,HD 9446,HIP 7245,,4.50,,,,,222.47200,2010
HD 9446,c,Radial Velocity,192.90000000,0.654000,0.060000,,1.82000,,,,0,23.334101,29.265148,52.85,8.369,,,,HD 9446,HIP 7245,,4.50,,,,,578.42600,2010
HD 95089,b,Radial Velocity,507.00000000,1.510000,0.157000,,1.20000,,,,0,164.698898,1.729216,149.03,7.946,,,,HD 95089,HIP 53666,,4.90,,,,,381.38000,2010
HD 96063,b,Radial Velocity,361.10000000,0.990000,0.280000,,0.90000,,,,0,166.185226,-2.513218,132.80,8.254,,,,HD 96063,HIP 54158,,4.60,,,,,290.00000,2011
HD 96127,b,Radial Velocity,647.30000000,1.400000,0.300000,,4.00000,,,,0,166.441452,44.301559,221.24,7.407,,,,HD 96127,HIP 54232,,5.20,,,,,1300.00000,2011
HD 96167,b,Radial Velocity,498.90000000,1.300000,0.710000,,0.68000,,,,0,166.312790,-10.291301,84.03,8.080,,,,HD 96167,HIP 54195,,4.30,,,,,216.11500,2009
HD 96700,b,Radial Velocity,8.12560000,0.077400,0.100000,,0.02840,,,,0,166.976776,-30.174566,26.21,6.540,,,,HD 96700,HIP 54400,12.60,4.15,,,0.160,-4.970,9.02600,2011
HD 96700,c,Radial Velocity,103.49000000,0.422000,0.370000,,0.04000,,,,0,166.976776,-30.174566,26.21,6.540,,,,HD 96700,HIP 54400,12.60,4.15,,,0.160,-4.970,13.00000,2011
HD 97658,b,Radial Velocity,9.49400000,0.083100,,,0.02600,,,,0,168.638184,25.710384,21.30,7.762,,,,HD 97658,HIP 54906,-1.70,5.10,,,0.195,-4.920,8.26323,2010
HD 98219,b,Radial Velocity,436.90000000,1.230000,0.210000,,1.80000,,,,0,169.448135,-23.975414,150.38,8.033,,,,HD 98219,HIP 55174,,5.00,,,,,572.00000,2011
HD 98649,b,Radial Velocity,10400.00000000,,0.860000,7.00089,,,,,0,170.215698,-23.217342,42.77,7.991,,,,HD 98649,HIP 55409,3.80,4.40,,,,,,2011
HD 99109,b,Radial Velocity,439.30000000,1.105000,0.090000,,0.50200,,,,0,171.072327,-1.529076,60.46,9.061,,,,HD 99109,HIP 55664,33.00,4.90,,,0.161,-5.060,159.54394,2006
HD 99492,b,Radial Velocity,17.05400000,0.121860,0.130000,,0.08700,,,,0,171.692825,3.006328,17.99,6.140,,,,HD 99492,HIP 55848,3.10,5.30,,,0.254,,27.65000,2004
HD 99492,c,Radial Velocity,4970.00000000,5.400000,0.100000,,0.36000,,,,0,171.692825,3.006328,17.99,6.140,,,,HD 99492,HIP 55848,3.10,5.30,,,0.254,,114.41400,2010
HD 99706,b,Radial Velocity,868.00000000,2.140000,0.365000,,1.40000,,,,0,172.125885,43.966579,130.89,7.637,,,,HD 99706,HIP 55994,,5.00,,,,,445.00000,2011
HIP 11952,b,Radial Velocity,290.00000000,0.810000,0.270000,2.93000,,,,,0,38.546028,-12.384295,115.30,9.854,5960.00,0.83,1.60,HD 16031,HIP 11952,24.36,3.00,,,,,,2012
HIP 11952,c,Radial Velocity,6.95000000,0.070000,0.350000,0.78000,,,,,0,38.546028,-12.384295,115.30,9.854,5960.00,0.83,1.60,HD 16031,HIP 11952,24.36,3.00,,,,,,2012
HIP 12961,b,Radial Velocity,57.00000000,,,,0.47000,,,,0,41.678692,-23.086611,23.80,10.294,,,,,HIP 12961,,,,,,,149.37381,2009
HIP 13044,b,Radial Velocity,16.20000000,0.116000,0.250000,,1.25000,,,,0,41.906010,-36.107513,223.21,9.982,,,,,HIP 13044,,,,,,,397.27100,2010
HIP 14810,b,Radial Velocity,6.67385500,0.069200,0.142700,,3.88000,,,,0,47.809292,21.097359,52.88,8.500,,,,,HIP 14810,,,,,,,1233.12845,2006
HIP 14810,c,Radial Velocity,147.73000000,0.545000,0.164000,,1.28000,,,,0,47.809292,21.097359,52.88,8.500,,,,,HIP 14810,,,,,,,406.80526,2006
HIP 14810,d,Radial Velocity,952.00000000,1.890000,0.173000,,0.57000,,,,0,47.809292,21.097359,52.88,8.500,,,,,HIP 14810,,,,,,,181.15500,2009
HIP 34693,b,Radial Velocity,305.00000000,,,18.10000,,,,,0,107.784882,30.245163,92.51,4.420,,,,HD 54719,HIP 34693,,5.00,,,,,,2004
HIP 5158,b,Radial Velocity,345.72000000,0.890000,0.520000,,1.42000,,,,0,16.508533,-22.453154,44.80,10.167,,,,,HIP 5158,,,,,,,451.00000,2009
HIP 5158,c,Radial Velocity,9017.80000000,7.700000,0.140000,15.04000,,,,,0,16.508533,-22.453154,44.80,10.167,,,,,HIP 5158,,,,,,,,2011
HIP 57050,b,Radial Velocity,41.39700000,0.163506,0.314000,,0.29800,,,,0,175.435974,42.751972,11.03,11.920,,,,,HIP 57050,-9.10,6.40,,,,,94.70940,2010
HIP 57274,b,Radial Velocity,8.13520000,0.070000,0.187000,,0.03600,,,,0,176.170685,30.959293,25.87,8.984,,,,,HIP 57274,,5.40,,,,,11.40000,2011
HIP 57274,c,Radial Velocity,32.03000000,0.178000,0.050000,,0.41000,,,,0,176.170685,30.959293,25.87,8.984,,,,,HIP 57274,,5.40,,,,,130.00000,2011
HIP 57274,d,Radial Velocity,431.70000000,1.010000,0.270000,,0.52700,,,,0,176.170685,30.959293,25.87,8.984,,,,,HIP 57274,,5.40,,,,,167.50000,2011
HIP 63510,c,Imaging,,1168.000000,,6.28536,,1.220,,,0,195.194092,12.375724,11.43,9.720,,,,,HIP 63510,-11.20,6.05,,,9.192,,,2010
HIP 70849,b,Radial Velocity,3000.00000000,,,,5.00000,,,,0,217.327347,-46.463818,23.98,10.380,,,,,HIP 70849,,5.70,,,,,1589.08306,2009
HIP 75458,b,Radial Velocity,511.09800000,1.275000,0.712400,,8.82000,,,,0,231.232391,58.966064,31.33,3.290,,,,HD 137759,HIP 75458,,5.20,,,,,2803.14251,2002
HIP 78530,b,Imaging,,,,23.04000,,,,,0,240.481064,-21.980389,131.93,7.192,,,,HD 143567,HIP 78530,,1.90,,,,,,2011
HIP 79431,b,Radial Velocity,111.70000000,0.360000,0.290000,,2.10000,,,,0,243.174057,-18.875504,14.90,,,,,,HIP 79431,,6.30,,,,,667.41500,2010
HN Peg,b,Imaging,,773.000000,,21.99870,,1.051,,,0,326.130554,14.771939,18.39,5.950,,,,HD 206860,HIP 107350,-17.20,4.00,,,0.325,-4.420,,2007
HR 810,b,Radial Velocity,311.28800000,0.910000,0.240000,,1.94000,,,,0,40.639442,-50.800293,17.24,5.410,,,,HD 17051,HIP 12653,16.70,4.00,,,0.225,-4.650,616.56423,1999
HR 8799,b,Imaging,170000.00000000,68.000000,,7.00000,,1.200,,,0,346.869659,21.134251,39.94,5.953,,,,HD 218396,HIP 114189,,3.02,,,,,,2008
HR 8799,c,Imaging,69000.00000000,38.000000,,10.00000,,1.200,,,0,346.869659,21.134251,39.94,5.953,,,,HD 218396,HIP 114189,,3.02,,,,,,2008
HR 8799,d,Imaging,37000.00000000,24.000000,,10.00000,,1.200,,,0,346.869659,21.134251,39.94,5.953,,,,HD 218396,HIP 114189,,3.02,,,,,,2008
HR 8799,e,Imaging,18000.00000000,14.500000,,,,,,,0,346.869659,21.134251,39.94,5.953,,,,HD 218396,HIP 114189,,3.02,,,,,,2010
HW Vir,b,Eclipse Timing Variations,5767.00000000,,,19.20000,,,,,0,191.084320,-8.671344,130.72,,,,,,HIP 62157,,,,,,,,2008
HW Vir,c,Eclipse Timing Variations,3321.00000000,,,8.50000,,,,,0,191.084320,-8.671344,130.72,,,,,,HIP 62157,,,,,,,,2008
KELT-1,b,Transit,1.21751400,0.024660,0.009900,27.23000,,1.110,24.70000,87.800,0,0.362142,39.383808,262.00,,6518.00,1.32,1.46,,,-14.20,,0.542,,,,,2012
KELT-2A,b,Transit,4.11379120,0.054960,0.000000,1.52200,,1.286,,88.600,0,92.663948,30.957144,128.50,8.713,6151.00,1.31,1.83,HD 42176,HIP 29301,-47.30,3.80,,,,,,2012
KOI-13,b,Transit,1.76358920,,,,,1.445,,85.900,0,286.971191,46.868362,,,8511.00,2.05,1.76,,,,,,-0.141,,,,2011
KOI-1725,b,Transit,9.88440000,0.075100,0.000000,,,0.236,,88.420,0,283.628357,48.391022,,,4240.00,0.58,0.55,,,,,-1.066,,,,,2011
KOI-1727,b,Transit,49.76971000,0.267200,0.000000,,,0.718,,89.200,0,284.273956,41.535023,,,5619.00,1.03,1.27,,,,,0.009,-0.287,,,,2011
KOI-217,b,Transit,3.90512000,0.047700,0.000000,,,1.110,,89.800,0,294.865509,46.285854,800.00,,5545.00,0.95,0.86,,,,,,0.220,,,,2010
KOI-55,b,Transit,0.24010400,0.006000,,0.00140,,0.068,,65.000,0,296.356110,41.092754,1180.00,,27730.00,0.50,0.20,,,,,1.360,-0.106,,,,2011
KOI-55,c,Transit,0.34288700,0.007600,,0.00210,,0.077,,65.000,0,296.356110,41.092754,1180.00,,27730.00,0.50,0.20,,,,,1.360,-0.106,,,,2011
Kepler-10,b,Transit,0.83749500,0.016840,0.000000,0.01400,,0.126,8.80000,84.400,0,285.679382,50.241299,,,5627.00,,1.00,,,,,,-0.812,,,,2011
Kepler-10,c,Transit Timing Variations,42.29485000,0.240700,0.000000,0.06300,,0.199,10.00000,89.650,1,285.679382,50.241299,,,5627.00,,1.00,,,,,,-0.812,,,,2011
Kepler-11,b,Transit,10.30375000,0.091000,0.000000,0.01400,,0.176,3.10000,88.500,1,297.115112,41.909138,,,5685.00,,1.06,,,,,,-0.111,,,,2011
Kepler-11,c,Transit,13.02502000,0.106000,0.000000,0.04200,,0.281,2.30000,89.000,1,297.115112,41.909138,,,5685.00,,1.06,,,,,,-0.111,,,,2011
Kepler-11,d,Transit,22.68719000,0.159000,0.000000,0.01900,,0.306,0.90000,89.300,1,297.115112,41.909138,,,5685.00,,1.06,,,,,,-0.111,,,,2011
Kepler-11,e,Transit,31.99590000,0.194000,0.000000,0.02600,,0.404,0.50000,88.800,1,297.115112,41.909138,,,5685.00,,1.06,,,,,,-0.111,,,,2011
Kepler-11,f,Transit,46.68876000,0.250000,0.000000,0.00700,,0.233,0.70000,89.400,1,297.115112,41.909138,,,5685.00,,1.06,,,,,,-0.111,,,,2011
Kepler-11,g,Transit,118.37774000,0.462000,0.000000,0.94400,,0.327,,89.800,1,297.115112,41.909138,,,5685.00,,1.06,,,,,,-0.111,,,,2011
Kepler-12,b,Transit,4.43796370,0.055600,0.010000,0.43100,,1.695,0.11100,88.760,0,286.243439,50.040382,,,6011.00,,1.38,,,,,,-0.161,,,,2011
Kepler-14,b,Transit,6.79012300,,0.035000,8.40000,,1.136,7.10000,90.000,0,287.708801,47.333050,,,6395.00,,1.63,,,,,,-0.122,,,,2011
Kepler-15,b,Transit,4.94278200,0.057140,0.060000,0.66000,,0.960,0.93000,87.440,0,296.200592,49.140125,,,5786.00,,1.09,,,,,,0.362,,,,2011
Kepler-16,b,Transit,228.77600000,0.704800,0.006900,0.33300,,0.754,0.96400,90.032,0,289.075714,51.757439,,,4576.00,0.69,0.62,,,,,,-0.200,,,,2011
Kepler-17,b,Transit,1.48571080,0.026800,0.011000,2.47000,,1.330,1.30000,87.200,0,298.395264,47.815006,,,5787.00,,1.05,,,-25.14,,,0.390,,,,2011
Kepler-18,b,Transit,3.50472500,0.044700,0.000000,0.02200,,0.178,4.90000,84.920,0,298.079437,44.746323,,,5385.00,,0.98,,,,,,0.169,,,,2011
Kepler-18,c,Transit,7.64159000,0.075200,0.000000,0.05400,,0.490,0.59000,87.680,0,298.079437,44.746323,,,5385.00,,0.98,,,,,,0.169,,,,2011
Kepler-18,d,Transit,14.85888000,0.117200,0.000000,0.05200,,0.623,0.27000,88.070,0,298.079437,44.746323,,,5385.00,,0.98,,,,,,0.169,,,,2011
Kepler-19,b,Transit,9.28699440,,0.000000,0.06400,,0.197,10.40000,89.940,0,290.420837,37.851788,,,5541.00,,0.86,,,,,,-0.766,,,,2011
Kepler-20,b,Transit,3.69612190,0.045370,0.320000,0.02700,,0.170,6.50000,86.500,0,287.697998,42.338726,,,5443.00,0.90,0.94,,,,,,-0.152,,,,2011
Kepler-20,c,Transit,10.85409200,0.093000,0.400000,0.05100,,0.274,2.91000,88.390,0,287.697998,42.338726,,,5443.00,0.90,0.94,,,,,,-0.152,,,,2011
