pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_massj,pl_msinij,pl_radj,pl_dens,pl_orbincl,pl_ttvflag,ra,dec,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name,st_radv,st_sp,st_lum,st_metfe,st_acts,st_actr,pl_msinie,pl_disc
HD 210702,b,Radial Velocity,354.80000000,1.200000,0.094000,1.90000,,,,,0,332.963867,16.040550,55.90,5.950,4967.00,1.68,5.10,HD 210702,HIP 109577,,5.00,1.149,,0.118,,,2007
HD 212301,b,Radial Velocity,2.44571500,0.036000,0.000000,,0.45000,,,,0,336.878845,-77.717926,52.72,7.764,,,,HD 212301,HIP 110852,4.80,3.80,,,,,143.01700,2005
HD 212771,b,Radial Velocity,373.30000000,1.220000,0.111000,,2.30000,,,,0,336.762787,-17.263659,121.80,7.596,,,,HD 212771,HIP 110813,,4.80,,,,,730.97800,2010
HD 213240,b,Radial Velocity,951.00000000,2.030000,0.450000,,4.50000,,,,0,337.751526,-49.433270,40.75,6.814,,,,HD 213240,HIP 111143,-0.50,4.05,,,0.155,-5.000,1430.17475,2001
HD 215152,b,Radial Velocity,7.28250000,0.065200,0.340000,,0.00870,,,,0,340.838745,-6.400821,21.52,8.130,,,,HD 215152,HIP 112190,-13.80,5.30,,,0.293,,2.77000,2011
HD 215152,c,Radial Velocity,10.86600000,0.085200,0.380000,,0.00970,,,,0,340.838745,-6.400821,21.52,8.130,,,,HD 215152,HIP 112190,-13.80,5.30,,,0.293,,3.08000,2011
HD 215456,b,Radial Velocity,191.99000000,0.652000,0.150000,,0.10100,,,,0,341.533478,-48.978821,38.64,6.629,,,,HD 215456,HIP 112414,-19.10,4.00,,,0.146,-5.090,32.10000,2011
HD 215456,c,Radial Velocity,2277.00000000,3.394000,0.190000,,0.24600,,,,0,341.533478,-48.978821,38.64,6.629,,,,HD 215456,HIP 112414,-19.10,4.00,,,0.146,-5.090,78.18000,2011
HD 215497,b,Radial Velocity,3.93000000,,,,0.01700,,,,0,341.653137,-56.599533,43.53,8.950,,,,HD 215497,HIP 112441,,5.30,,,,,5.40288,2009
HD 215497,c,Radial Velocity,567.00000000,,,,0.33000,,,,0,341.653137,-56.599533,43.53,8.950,,,,HD 215497,HIP 112441,,5.30,,,,,104.87948,2009
HD 216435,b,Radial Velocity,1311.00000000,2.560000,0.070000,,1.26000,,,,0,343.408051,-48.598286,33.29,6.040,,,,HD 216435,HIP 113044,-1.10,4.00,,,0.157,-5.000,400.44893,2002
HD 216437,b,Radial Velocity,1294.00000000,2.700000,0.340000,,2.10000,,,,0,343.664520,-70.073708,26.52,6.050,,,,HD 216437,HIP 113137,-2.70,4.25,,,,,667.41488,2002
HD 216770,b,Radial Velocity,118.45000000,0.460000,0.370000,,0.65000,,,,0,343.973785,-26.658764,37.89,8.094,,,,HD 216770,HIP 113238,30.70,5.00,,,0.193,-4.920,206.58100,2003
HD 21693,b,Radial Velocity,22.65600000,0.148400,0.260000,,0.03220,,,,0,51.802010,-58.323681,32.31,7.940,,,,HD 21693,HIP 16085,39.10,4.80,,,,,10.23000,2011
HD 21693,c,Radial Velocity,53.88100000,0.264400,0.240000,,0.06472,,,,0,51.802010,-58.323681,32.31,7.940,,,,HD 21693,HIP 16085,39.10,4.80,,,,,20.56900,2011
HD 217107,b,Radial Velocity,7.12689000,0.073000,0.132000,,1.33000,,,,0,344.564758,-2.395385,19.72,6.160,,,,HD 217107,HIP 113421,-14.00,4.80,,,0.150,-5.080,422.69609,1998
HD 217107,c,Radial Velocity,4210.00000000,5.270000,0.517000,,2.49000,,,,0,344.564758,-2.395385,19.72,6.160,,,,HD 217107,HIP 113421,-14.00,4.80,,,0.150,-5.080,791.36336,1998
HD 217786,b,Radial Velocity,1319.00000000,2.380000,0.400000,,13.00000,,,,0,345.784180,-0.429622,54.92,7.779,,,,HD 217786,HIP 113834,9.90,3.80,,,,,4131.62000,2010
HD 218566,b,Radial Velocity,225.70000000,0.687300,0.300000,,0.21000,,,,0,347.294708,-2.260742,29.94,8.628,,,,HD 218566,HIP 114322,-37.80,5.30,,,0.245,,66.74150,2010
HD 219415,b,Radial Velocity,2093.30000000,3.200000,0.400000,1.00000,,,,,0,348.724274,56.730328,,,4820.00,1.00,2.90,HD 219415,,,,0.620,,,,,2012
HD 219449,b,Radial Velocity,182.00000000,0.300000,,,2.90000,,,,0,348.972900,-9.087737,45.52,4.250,,,,HD 219449,HIP 114855,,5.05,,,0.105,,921.66817,2003
HD 219828,b,Radial Velocity,3.83350000,0.052000,0.000000,,0.06600,,,,0,349.694733,18.645720,81.10,8.008,,,,HD 219828,HIP 115100,-24.60,4.00,,,,,20.97590,2007
HD 220074,b,Radial Velocity,672.10000000,1.600000,0.140000,,11.10000,,,,0,350.059906,61.970127,289.02,,3935.00,1.20,49.70,HD 220074,HIP 115218,-36.89,5.50,,-0.250,,,3527.80000,2012
HD 220689,b,Radial Velocity,2191.00000000,,0.200000,1.18622,,,,,0,351.470795,-20.616030,45.23,7.758,,,,HD 220689,HIP 115662,11.80,4.30,,,,,,2011
HD 220773,b,Radial Velocity,3724.70000000,4.940000,0.510000,,1.45000,,,,0,351.614349,8.643845,48.43,7.096,,,,HD 220773,HIP 115697,-38.00,4.00,,,,,460.80000,2012
HD 221287,b,Radial Velocity,456.10000000,1.250000,0.080000,,3.09000,,,,0,352.834747,-58.209732,52.88,7.807,,,,HD 221287,HIP 116084,-21.60,3.70,,,,,982.05300,2007
HD 222582,b,Radial Velocity,572.38000000,1.350000,0.725000,,7.75000,,,,0,355.464722,-5.985757,41.95,7.691,,,,HD 222582,HIP 116906,11.50,4.50,,,,,2463.07874,1999
HD 224693,b,Radial Velocity,26.73000000,0.233000,0.050000,,0.71000,,,,0,359.974304,-22.428114,94.07,8.216,,,,HD 224693,HIP 118319,1.50,4.20,,,,,225.64979,2006
HD 22781,b,Radial Velocity,528.07000000,1.167000,0.819100,,13.65000,,,,0,55.206356,31.826290,31.79,8.766,,,,HD 22781,HIP 17187,,5.00,,,,,4338.20000,2011
HD 23079,b,Radial Velocity,738.45900000,1.650000,0.100000,,2.61000,,,,0,54.929562,-52.915836,34.60,7.105,,,,HD 23079,HIP 17096,0.50,3.90,,,0.164,-4.940,829.50135,2001
HD 23127,b,Radial Velocity,1214.00000000,2.400000,0.440000,,1.50000,,,,0,54.848495,-60.077843,89.13,8.550,,,,HD 23127,HIP 17054,21.90,4.20,,,,,476.72500,2007
HD 231701,b,Radial Velocity,141.60000000,0.530000,0.100000,,1.08000,,,,0,293.017334,16.474291,108.46,8.970,,,,HD 231701,HIP 96078,,4.00,,,,,317.81700,2007
HD 23596,b,Radial Velocity,1558.00000000,2.720000,0.314000,,7.19000,,,,0,57.001556,40.530636,51.97,7.244,,,,HD 23596,HIP 17747,-10.20,3.80,,,0.150,-5.060,2285.10143,2002
HD 240210,b,Radial Velocity,501.75000000,1.330000,0.150000,,6.90000,,,,0,347.621792,57.029456,,,,,,HD 240210,,,,,,,,2192.93500,2009
HD 240237,b,Radial Velocity,745.70000000,1.900000,0.400000,,5.30000,,,,0,348.925934,58.043240,307.69,,,,,HD 240237,HIP 114840,,5.20,,,,,1680.00000,2010
HD 25171,b,Radial Velocity,1845.00000000,3.020000,0.080000,,0.95000,,,,0,58.956001,-65.186676,56.05,7.778,,,,HD 25171,HIP 18387,42.80,3.80,,,,,301.92600,2010
HD 2638,b,Radial Velocity,3.44420000,0.044000,0.000000,,0.48000,,,,0,7.499466,-5.764002,53.71,9.375,,,,HD 2638,HIP 2350,,5.10,,,,,152.55197,2005
HD 27442,b,Radial Velocity,423.84100000,1.180000,0.070000,,1.28000,,,,0,64.120956,-59.302155,18.24,4.440,,,,HD 27442,HIP 19921,29.20,5.15,,,,,406.80526,2000
HD 27631,b,Radial Velocity,2220.00000000,,0.170000,1.70004,,,,,0,64.939461,-41.960266,44.54,8.243,,,,HD 27631,HIP 20199,20.40,4.30,,,0.177,-4.910,,2011
HD 27894,b,Radial Velocity,17.99100000,0.122000,0.049000,,0.62000,,,,0,65.196030,-59.410835,42.37,9.349,,,,HD 27894,HIP 20277,,5.20,,,,,197.04630,2005
